# RaceRender Data: TrackAddict 3.6.2 on Android 7.1.1 [Sony E5823 / Qualcomm Technologies, Inc MSM8994] (Mode: 0)
# End Point: 55.987240, 13.113570  @ -1.00 deg
"Time","Lap","Predicted Lap Time","Predicted vs Best Lap","GPS_Update","GPS_Delay","Latitude","Longitude","Altitude (m)","Altitude (ft)","Speed (KM/H)","Heading","Accuracy (m)","Accel X","Accel Y","Accel Z","Brake (calculated)"
0.000,0,0,0,1,0.025,55.9880100,13.1121933,71.7,235,0.0,3.1,2.5,0.01,0.00,-0.01,1
0.030,0,0,0,0,0.025,55.9880100,13.1121933,71.7,235,0.0,3.1,2.5,0.01,0.00,-0.01,1
0.059,0,0,0,1,0.017,55.9880100,13.1121933,71.7,235,0.0,3.1,2.5,0.01,0.00,-0.01,1
0.111,0,0,0,0,0.017,55.9880100,13.1121933,71.7,235,0.0,3.1,2.5,0.01,0.01,-0.01,1
0.150,0,0,0,1,0.008,55.9880100,13.1121933,71.7,235,0.1,3.1,2.5,0.01,0.01,-0.01,1
0.198,0,0,0,0,0.008,55.9880100,13.1121933,71.7,235,0.1,3.1,2.5,0.01,0.00,-0.01,1
0.244,0,0,0,0,0.008,55.9880100,13.1121933,71.7,235,0.1,3.1,2.5,0.01,0.00,-0.01,1
0.266,0,0,0,1,0.024,55.9880100,13.1121933,71.8,236,0.1,3.1,2.5,0.01,0.01,-0.01,1
0.314,0,0,0,0,0.024,55.9880100,13.1121933,71.8,236,0.1,3.1,2.5,0.01,0.01,-0.01,1
0.356,0,0,0,1,0.014,55.9880100,13.1121933,71.8,236,0.1,3.1,2.5,0.01,0.01,-0.01,1
0.403,0,0,0,0,0.014,55.9880100,13.1121933,71.8,236,0.1,3.1,2.5,0.01,0.01,-0.01,1
0.449,0,0,0,1,0.007,55.9880083,13.1121933,71.8,236,0.1,3.1,2.5,0.01,0.01,-0.00,1
